#OTU ID	ATCC_mock_2	ATCC_mock_3	ATCC_mock_4	ATCC_mock_5	ATCC_mock_7
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	0.0260869565217391	0.0260869565217391	0.0260869565217391	0.0260869565217391	0.0260869565217391
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	0.0434782608695652	0.0434782608695652	0.0434782608695652	0.0434782608695652	0.0434782608695652
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium	0.0260869565217391	0.0260869565217391	0.0260869565217391	0.0260869565217391	0.0260869565217391
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.0608695652173913	0.0608695652173913	0.0608695652173913	0.0608695652173913	0.0608695652173913
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	0.0347826086956522	0.0347826086956522	0.0347826086956522	0.0347826086956522	0.0347826086956522
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Helicobacteraceae;Helicobacter	0.0173913043478261	0.0173913043478261	0.0173913043478261	0.0173913043478261	0.0173913043478261
Bacteria;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus	0.0260869565217391	0.0260869565217391	0.0260869565217391	0.0260869565217391	0.0260869565217391
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	0.121739130434783	0.121739130434783	0.121739130434783	0.121739130434783	0.121739130434783
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	0.0347826086956522	0.0347826086956522	0.0347826086956522	0.0347826086956522	0.0347826086956522
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	0.0521739130434783	0.0521739130434783	0.0521739130434783	0.0521739130434783	0.0521739130434783
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.104347826086957	0.104347826086957	0.104347826086957	0.104347826086957	0.104347826086957
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	0.104347826086957	0.104347826086957	0.104347826086957	0.104347826086957	0.104347826086957
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1	0.130434782608696	0.130434782608696	0.130434782608696	0.130434782608696	0.130434782608696
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter	0.0347826086956522	0.0347826086956522	0.0347826086956522	0.0347826086956522	0.0347826086956522
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;Neisseria	0.0347826086956522	0.0347826086956522	0.0347826086956522	0.0347826086956522	0.0347826086956522
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella	0.0608695652173913	0.0608695652173913	0.0608695652173913	0.0608695652173913	0.0608695652173913
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	0.0521739130434783	0.0521739130434783	0.0521739130434783	0.0521739130434783	0.0521739130434783
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	0.0347826086956522	0.0347826086956522	0.0347826086956522	0.0347826086956522	0.0347826086956522
